a,category,filename,prompt,style,size,seed,n
9,1-classic-traditional,1-1-1-a-highly-detailed-renaissance,"A highly detailed Renaissance-style portrait of a noblewoman, soft lighting, realistic textures, intricate clothing with lace and embroidery, warm earthy color palette, background with classical architecture.",vivid,1024x1024,,1
9,1-classic-traditional,1-2-1-a-colorful-impressionist-land,"A colorful impressionist landscape of a garden at sunrise, visible brush strokes, soft focus, light playing on flowers and trees, pastel hues with pinks, greens, and blues, vibrant and airy atmosphere.",vivid,1024x1024,,1
9,1-classic-traditional,1-3-1-abstract-cubist-painting-of-a,"Abstract cubist painting of a musician playing guitar, fragmented geometric shapes, multiple perspectives, muted earth tones mixed with bright accents, sharp angular lines, layered composition.",vivid,1024x1024,,1
9,1-classic-traditional,1-4-1-a-dreamlike-surrealist-scene,"A dreamlike surrealist scene with floating clocks, melting objects, and distorted landscapes, vivid colors with deep shadows, bizarre and fantastical imagery, inspired by Salvador Dalí.",vivid,1024x1024,,1
9,1-classic-traditional,1-5-1-a-pointillism-style-portrait,"A pointillism style portrait of a woman, composed of thousands of tiny colored dots, vibrant color dots blending to form realistic shading, detailed facial features, soft and textured appearance.",vivid,1024x1024,,1
9,1-classic-traditional,1-6-1-a-dramatic-baroque-painting-o,"A dramatic Baroque painting of a battle scene, strong contrasts of light and shadow (chiaroscuro), rich textures, muscular figures in dynamic poses, deep reds and golds, intense emotional expressions.",vivid,1024x1024,,1
9,1-classic-traditional,1-7-1-an-elegant-art-nouveau-poster,"An elegant Art Nouveau poster featuring a woman with flowing hair surrounded by stylized flowers and vines, organic lines, pastel colors with gold accents, decorative borders, graceful curves.",vivid,1024x1024,,1
9,1-classic-traditional,1-8-1-a-bold-expressionist-portrait,"A bold expressionist portrait with exaggerated facial features, intense emotional colors like reds, blues, and blacks, rough brush strokes, abstracted forms conveying inner turmoil.",vivid,1024x1024,,1
9,1-classic-traditional,1-9-1-a-fauvist-landscape-with-wild,"A Fauvist landscape with wild, unnatural colors like bright orange, purple, and green, simplified shapes, thick paint textures, joyful and vibrant mood, inspired by Henri Matisse.",vivid,1024x1024,,1
9,1-classic-traditional,1-10-1-a-bright-pop-art-style-comic,"A bright pop art style comic panel featuring a superhero, thick black outlines, halftone dots, primary colors (red, yellow, blue), speech bubble with bold text, playful and graphic.",vivid,1024x1024,,1
9,2-digital-modern,2-1-1-a-pixel-art-scene-of-a-fantas,"A pixel art scene of a fantasy village at sunset, small square pixels, limited color palette with warm tones, blocky characters and buildings, retro video game style.",vivid,1024x1024,,1
9,2-digital-modern,2-2-1-a-low-poly-3d-style-landscape,"A low poly 3D style landscape with geometric mountains and trees, sharp edges, flat color shading in pastel tones, minimalist and clean design.",vivid,1024x1024,,1
9,2-digital-modern,2-3-1-a-vaporwave-aesthetic-image-w,"A vaporwave aesthetic image with neon pink and blue gradients, 80s computer graphics, retro grid lines, palm trees, and Japanese characters, nostalgic and surreal vibe.",vivid,1024x1024,,1
9,2-digital-modern,2-4-1-a-glitch-art-portrait-with-di,"A glitch art portrait with digital distortion, pixelation, color shifts, horizontal scan lines, broken pixels, fragmented image composition, futuristic and chaotic.",vivid,1024x1024,,1
9,2-digital-modern,2-5-1-a-synthwave-cityscape-at-nigh,"A synthwave cityscape at night with neon lights, purple and pink color scheme, retro futuristic cars, glowing horizon, 80s retro style with glowing grid floor.",vivid,1024x1024,,1
9,2-digital-modern,2-6-1-a-cyberpunk-street-scene-rain,"A cyberpunk street scene, rainy night, neon signs in Japanese, futuristic skyscrapers, characters with cybernetic implants, dark color palette with bright neon highlights.",vivid,1024x1024,,1
9,2-digital-modern,2-7-1-a-clean-vector-art-illustrati,"A clean vector art illustration of a tropical bird, bold flat colors, sharp geometric shapes, minimal shading, crisp outlines, modern graphic style.",vivid,1024x1024,,1
9,2-digital-modern,2-8-1-a-flat-design-infographic-sty,"A flat design infographic style image showing a healthy lifestyle, simple icons, bright and cheerful colors, clean lines, and easy-to-read layout.",vivid,1024x1024,,1
9,2-digital-modern,2-9-1-a-minimalist-poster-with-a-si,"A minimalist poster with a single red circle on white background, clean typography, lots of negative space, simple and elegant composition.",vivid,1024x1024,,1
9,2-digital-modern,2-10-1-an-isometric-cityscape-illust,"An isometric cityscape illustration with detailed buildings, roads, and cars, bright color palette, 3D perspective without distortion, clean and organized.",vivid,1024x1024,,1
9,3-fantasy-scifi,3-1-1-a-steampunk-airship-floating,"A steampunk airship floating over a Victorian city, brass gears, steam pipes, leather and metal textures, warm sepia tones, intricate mechanical details.",vivid,1024x1024,,1
9,3-fantasy-scifi,3-2-1-a-hyperrealistic-fantasy-warr,"A hyper-realistic fantasy warrior in detailed armor, glowing sword, mystical forest background, dramatic lighting, rich textures, heroic pose.",vivid,1024x1024,,1
9,3-fantasy-scifi,3-3-1-a-vibrant-anime-style-portrai,"A vibrant anime style portrait of a young girl with big sparkling eyes, colorful hair, detailed school uniform, soft shading, clean line art.",vivid,1024x1024,,1
9,3-fantasy-scifi,3-4-1-a-black-and-white-manga-panel,"A black and white manga panel featuring a dramatic close-up of a protagonist’s face, bold linework, speed lines for motion, expressive eyes, speech bubble with Japanese text.",vivid,1024x1024,,1
9,3-fantasy-scifi,3-5-1-a-futuristic-alien-landscape,"A futuristic alien landscape concept art, vast mountains with strange flora, glowing skies, detailed texture work, atmospheric lighting, sci-fi mood.",vivid,1024x1024,,1
9,3-fantasy-scifi,3-6-1-a-giant-mecha-robot-standing,"A giant mecha robot standing in a ruined city, detailed mechanical parts, metallic surfaces, dramatic sunset lighting, heroic and imposing stance.",vivid,1024x1024,,1
9,3-fantasy-scifi,3-7-1-a-cosmic-scene-with-colorful,"A cosmic scene with colorful nebulas, swirling galaxies, distant planets, stars shining brightly, vast depth and vibrant colors.",vivid,1024x1024,,1
9,3-fantasy-scifi,3-8-1-a-photorealistic-digital-matt,"A photorealistic digital matte painting of a fantasy castle on a cliff, detailed textures, misty atmosphere, soft lighting, cinematic composition.",vivid,1024x1024,,1
9,3-fantasy-scifi,3-9-1-a-celshaded-cartoon-style-ima,"A cel-shaded cartoon style image of a superhero flying over a city, bold shadows, flat colors with sharp edges, clean outlines.",vivid,1024x1024,,1
9,3-fantasy-scifi,3-10-1-a-dark-gothic-cathedral-inter,"A dark gothic cathedral interior, high vaulted ceilings, stained glass windows casting colored light, shadowy figures, moody and mysterious atmosphere.",vivid,1024x1024,,1
9,4-experimental-abstract,4-1-1-an-abstract-expressionist-pai,"An abstract expressionist painting with chaotic brush strokes, splatters of red, black, and white paint, emotional intensity, textured layers.",vivid,1024x1024,,1
9,4-experimental-abstract,4-2-1-a-dadaist-collage-with-torn-n,"A Dadaist collage with torn newspaper clippings, random objects, absurd juxtapositions, black and white with splashes of color, provocative and experimental.",vivid,1024x1024,,1
9,4-experimental-abstract,4-3-1-a-dynamic-kinetic-art-sculptu,"A dynamic kinetic art sculpture made of metal rods and spheres, captured in motion, blurred edges to suggest movement, modern and abstract.",vivid,1024x1024,,1
9,4-experimental-abstract,4-4-1-an-optical-illusion-artwork-w,"An optical illusion artwork with black and white repeating patterns, swirling lines creating a sense of movement and depth, hypnotic visual effect.",vivid,1024x1024,,1
9,4-experimental-abstract,4-5-1-a-psychedelic-poster-with-swi,"A psychedelic poster with swirling bright colors, fractal patterns, mushrooms, and cosmic imagery, vibrant and mind-bending.",vivid,1024x1024,,1
9,4-experimental-abstract,4-6-1-a-vaporwave-remix-style-image,"A vaporwave remix style image combining glitch art, retro computer UI, and surreal tropical elements, neon pinks and blues, nostalgic and futuristic.",vivid,1024x1024,,1
9,4-experimental-abstract,4-7-1-a-generative-art-piece-with-a,"A generative art piece with algorithmic fractal patterns, repeating geometric shapes in a gradient of blues and purples, modern digital aesthetic.",vivid,1024x1024,,1
9,4-experimental-abstract,4-8-1-a-mixed-media-collage-featuri,"A mixed media collage featuring vintage photos, floral patterns, torn paper textures, and handwritten text, layered and textured.",vivid,1024x1024,,1
9,4-experimental-abstract,4-9-1-a-colorful-fractal-design-wit,"A colorful fractal design with intricate repeating patterns, glowing edges, complex geometry, radiant blues and purples.",vivid,1024x1024,,1
9,4-experimental-abstract,4-10-1-an-abstract-noise-art-image-w,"An abstract noise art image with grainy textures, static interference patterns, monochrome with subtle color shifts, glitchy and experimental.",vivid,1024x1024,,1
9,5-cultural-historical,5-1-1-a-traditional-ukiyoe-style-pr,"A traditional Ukiyo-e style print depicting a serene Japanese landscape with Mount Fuji, flowing water, and cherry blossoms, soft muted colors, bold outlines.",vivid,1024x1024,,1
9,5-cultural-historical,5-2-1-a-vibrant-african-tribal-mask,"A vibrant African tribal mask with geometric patterns, bright reds, yellows, and blacks, intricate beadwork textures, symbolic and cultural.",vivid,1024x1024,,1
9,5-cultural-historical,5-3-1-an-aztecstyle-stone-carving-w,"An Aztec-style stone carving with detailed glyphs, sun motifs, and warrior figures, earthy stone textures and warm terracotta colors.",vivid,1024x1024,,1
9,5-cultural-historical,5-4-1-a-byzantine-mosaic-of-a-saint,"A Byzantine mosaic of a saint, made of small colored tiles, gold background, detailed facial features with a solemn expression, religious iconography.",vivid,1024x1024,,1
9,5-cultural-historical,5-5-1-an-aboriginal-dot-painting-de,"An Aboriginal dot painting depicting animals and nature stories, composed of colorful dots in patterns of red, yellow, white, and black, traditional style.",vivid,1024x1024,,1
9,5-cultural-historical,5-6-1-a-detailed-celtic-knot-patter,"A detailed Celtic knot pattern with intertwining loops and spirals, gold and green color palette, medieval ornamental style.",vivid,1024x1024,,1
9,5-cultural-historical,5-7-1-a-native-american-style-totem,"A Native American style totem pole carved with animal figures, vibrant earthy colors, detailed wood texture, cultural symbolism.",vivid,1024x1024,,1
9,5-cultural-historical,5-8-1-an-intricate-islamic-geometri,"An intricate Islamic geometric tile pattern with repeating stars and polygons, blue and white colors, symmetrical and highly detailed.",vivid,1024x1024,,1
9,5-cultural-historical,5-9-1-a-renaissance-fresco-painting,"A Renaissance fresco painting on a cathedral ceiling showing angels and clouds, muted pastel colors, soft brushwork, grand and sacred atmosphere.",vivid,1024x1024,,1
9,5-cultural-historical,5-10-1-a-medieval-illuminated-manusc,"A medieval illuminated manuscript page with elaborate gold leaf decorations, ornate initials, and hand-drawn floral borders, rich colors on parchment.",vivid,1024x1024,,1
